postcode,division,district,thana,suboffice,postcode_bn
1977,ঢাকা,টাঙ্গাইল,কালিহাতী,নগরবাড়ী,১৯৭৭
1976,ঢাকা,টাঙ্গাইল,কালিহাতী,নগরবাড়ী তাই,১৯৭৬
1972,ঢাকা,টাঙ্গাইল,কালিহাতী,নাগবাড়ি,১৯৭২
1975,ঢাকা,টাঙ্গাইল,কালিহাতী,পালিশা,১৯৭৫
1971,ঢাকা,টাঙ্গাইল,কালিহাতী,রাজাফাইর,১৯৭১
1930,ঢাকা,টাঙ্গাইল,কাশকাওলিয়া,কাশকাওলিয়া,১৯৩০
1997,ঢাকা,টাঙ্গাইল,মধুপুর,ধবাড়ি,১৯৯৭
1996,ঢাকা,টাঙ্গাইল,মধুপুর,মধুপুর,১৯৯৬
1941,ঢাকা,টাঙ্গাইল,মির্জাপুর,গড়াই,১৯৪১
1944,ঢাকা,টাঙ্গাইল,মির্জাপুর,জারমুকি,১৯৪৪
1942,ঢাকা,টাঙ্গাইল,মির্জাপুর,এম.সি. কলেজ,১৯৪২
1940,ঢাকা,টাঙ্গাইল,মির্জাপুর,মির্জাপুর,১৯৪০
1945,ঢাকা,টাঙ্গাইল,মির্জাপুর,মহেরা,১৯৪৫
1943,ঢাকা,টাঙ্গাইল,মির্জাপুর,ওয়ারী পাইকপাড়া,১৯৪৩
1937,ঢাকা,টাঙ্গাইল,নাগরপুর,ধুবুরিয়া,১৯৩৭
1936,ঢাকা,টাঙ্গাইল,নাগরপুর,নাগরপুর,১৯৩৬
1938,ঢাকা,টাঙ্গাইল,নাগরপুর,সলিমাবাদ,১৯৩৮
1951,ঢাকা,টাঙ্গাইল,সখীপুর,কচুয়া,১৯৫১
1950,ঢাকা,টাঙ্গাইল,সখীপুর,সখীপুর,১৯৫০
1901,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,কাগমারি,১৯০১
1903,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,করোতিয়া,১৯০৩
1904,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,পুড়াবাড়ি,১৯০৪
1902,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,সন্তোষ,১৯০২
1900,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,টাঙ্গাইল সদর,১৯০০
